,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
0,0.98,0.435,0.5765,0.0,0.0,0.5,0.39,0.65,3.54,0.0,0.15,0.33,0.94,0.66,0.83,0.31,0.25,0.09,0.0,0.96,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.98,0.434,0.5865,0.0,0.0,0.5,0.2,0.69,2.99,0.0,0.17,0.27,0.76,0.85,0.8,0.4,0.25,0.12,0.09,0.58,0.0007289999999999998,4.0000000000000074e-06,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
2,0.98,0.4355,0.5915,0.0,0.0,0.42,0.07,0.7,2.76,0.0,0.19,0.29,0.76,0.96,0.85,0.53,0.25,0.09,0.11,0.4,0.00019600000000000035,3.600000000000006e-05,0.0,,,,,,,,,,,,,,,,,,,,,
3,0.98,0.4365,0.594,0.0,0.02,0.4,0.22,0.73,2.79,0.0,0.24,0.35,0.84,0.99,0.91,0.61,0.24,0.03,0.06,0.32,6.399999999999967e-05,1.600000000000003e-05,0.0,,,,,,,,,,,,,,,,,,,,,
4,0.98,0.4375,0.595,0.0,0.02,0.37,0.48,0.84,2.86,0.0,0.31,0.4,1.01,0.99,0.93,0.71,0.22,0.0,0.05,0.36,9.000000000000015e-06,4.0000000000000074e-06,3.9999999999999795e-06,,,,,,,,,,,,,,,,,,,,,
5,0.98,0.4375,0.5965,0.0,0.02,0.46,0.78,0.97,2.82,0.0,0.4,0.41,1.06,0.95,0.94,0.71,0.21,0.0,0.04,0.34,2.5000000000000045e-05,0.0,3.600000000000002e-05,,,,,,,,,,,,,,,,,,,,,
6,0.98,0.438,0.5975,0.0,0.0,0.56,0.8,0.99,2.84,0.0,0.47,0.48,1.09,0.9,0.9,0.68,0.22,0.05,0.09,0.36,2.5000000000000045e-05,1.0000000000000019e-06,9.000000000000015e-06,,,,,,,,,,,,,,,,,,,,,
7,0.98,0.4385,0.5975,0.0,0.13,0.74,0.64,0.98,2.73,0.0,0.57,0.58,1.03,0.93,0.83,0.68,0.25,0.18,0.1,0.22,9.000000000000015e-06,1.0000000000000019e-06,9.999999999999949e-07,,,,,,,,,,,,,,,,,,,,,
8,0.98,0.4375,0.5985,0.0,0.23,0.87,0.4,1.0,2.85,0.0,0.61,0.69,1.05,0.91,0.76,0.62,0.2,0.43,0.15,0.18,4.0000000000000074e-06,1.600000000000003e-05,1.0000000000000019e-06,,,,,,,,,,,,,,,,,,,,,
9,0.98,0.439,0.6,0.0,0.42,1.17,0.2,1.1,2.78,0.0,0.64,0.73,1.06,0.91,0.76,0.62,0.16,0.66,0.2,0.22,6.400000000000012e-05,9.000000000000015e-06,4.899999999999999e-05,,,,,,,,,,,,,,,,,,,,,
