,gaze_confidence,gaze_x,gaze_y,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45,head_x,head_y,head_z,pose_1_x,pose_1_y,pose_1_confidence,pose_2_x,pose_2_y,pose_2_confidence,pose_3_x,pose_3_y,pose_3_confidence,pose_4_x,pose_4_y,pose_4_confidence,pose_5_x,pose_5_y,pose_5_confidence,pose_6_x,pose_6_y,pose_6_confidence,pose_7_x,pose_7_y,pose_7_confidence
0,0.98,0.5455,0.5725,2.13,0.93,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.05,0.79,0.0,0.22,0.0,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.98,0.545,0.575,2.43,0.84,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.59,0.81,0.0,0.07,0.0,0.27,0.0,9.000000000000015e-06,9.000000000000015e-06,1e-06,,,,,,,,,,,,,,,,,,,,,
2,0.98,0.5445,0.5755,2.75,1.03,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.0,0.29,0.85,0.0,0.0,0.0,0.4,0.0,4.0000000000000074e-06,1.0000000000000019e-06,0.0,,,,,,,,,,,,,,,,,,,,,
3,0.98,0.5445,0.579,2.88,1.18,0.0,0.18,0.0,0.8,0.0,0.0,0.0,0.0,0.52,0.98,0.0,0.02,0.0,0.43,0.08,1.0000000000000019e-06,4.0000000000000074e-06,1e-06,,,,,,,,,,,,,,,,,,,,,
4,0.93,0.546,0.5815,3.02,1.59,0.0,0.22,0.0,0.85,0.0,0.0,0.0,0.0,0.93,1.19,0.0,0.09,0.0,0.54,0.22,3.600000000000006e-05,9.000000000000015e-06,1e-06,,,,,,,,,,,,,,,,,,,,,
5,0.93,0.544,0.5805,2.94,1.8,0.0,0.15,0.0,0.86,0.0,0.0,0.0,0.0,1.19,1.28,0.0,0.16,0.0,0.49,0.22,4.0000000000000074e-06,3.600000000000006e-05,1.5999999999999992e-05,,,,,,,,,,,,,,,,,,,,,
6,0.98,0.5435,0.579,2.86,1.85,0.0,0.3,0.0,0.85,0.0,0.0,0.0,0.0,1.04,1.2,0.0,0.2,0.0,0.47,0.14,9.000000000000015e-06,0.0,9.000000000000005e-06,,,,,,,,,,,,,,,,,,,,,
7,0.98,0.543,0.578,2.75,1.77,0.0,0.27,0.0,0.84,0.0,0.0,0.0,0.0,0.78,1.03,0.0,0.2,0.0,0.38,0.0,9.000000000000015e-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
8,0.98,0.5415,0.5765,2.7,1.64,0.0,0.16,0.0,0.79,0.0,0.03,0.0,0.0,0.65,0.96,0.0,0.19,0.0,0.37,0.0,1.0000000000000019e-06,1.5999999999999918e-05,2.5e-05,,,,,,,,,,,,,,,,,,,,,
9,0.98,0.5415,0.5745,2.69,1.7,0.0,0.04,0.0,1.03,0.0,0.08,0.0,0.0,0.61,0.98,0.0,0.2,0.0,0.36,0.0,1.600000000000003e-05,0.0,1e-06,,,,,,,,,,,,,,,,,,,,,
